repo_name,file_count,avg_size,max_size,avg_depth,max_depth,comment_density,import_freq,function_freq,py_ratio,js_ratio,java_ratio,dominant_ratio,main_language,complexity_score,readability_score,modularity_score,tech_focus_score,complexity_rank,readability_rank,modularity_rank
Yomguithereal/baobab,3,35130,98753,2.3333333333333335,3,0.0028091885669792407,1.6666666666666667,98.666666666666657,0,1,0,1,JavaScript,3.2346868426130784,0.28091885669792405,32.888888888888886,1,85020,85282,1586
algolia/algoliasearch-rails,4,22050.5,59163,2.5,6,0.0017616901890209619,0,129,0,0.25,0,0.25,Ruby,4.0235947810852508,0.17616901890209619,32.25,0.25,74592,104672,1600
jakesgordon/javascript-racer,1,20443,20443,1,1,0.0030328229711881816,0,31,0,0,0,0,HTML,0.69314718055994529,0.30328229711881816,31,0,130218,81366,1651
goessner/g2,2,23064.5,44482,1.5,2,0.0067230358767618546,0,57,0,0.5,0,0.5,JavaScript,1.6479184330021646,0.67230358767618548,28.5,0.5,111151,37183,1793
gmassanek/gitbook-plugin-js-sequence-diagram,5,36803.4,87750,1.6,2,0.00532504384459672,0.2,131.8,0,0.4,0,0.4,JavaScript,2.866815150764888,0.532504384459672,26.360000000000003,0.4,89244,49731,1955
azproduction/autopolyfiller,4,28114,108102,1.75,3,0.0014795263254021441,0.5,105.25000000000001,0,0.5,0,0.5,JavaScript,2.8165163467596757,0.1479526325402144,26.312500000000004,0.5,89698,109924,1958
openstack/xstatic-angular-gettext,1,13256,13256,5,5,0.0082233119577517916,0,26,0,1,0,1,Python,3.4657359027997265,0.8223311957751791,26,1,82177,27885,1965
WhiteFairy/whitefairy.github.io,3,39636,110685,1.6666666666666667,2,0.0041145308352425278,0,76.666666666666671,0,0.33333333333333331,0,0.33333333333333331,CSS,2.3104906018664844,0.41145308352425281,25.555555555555557,0.33333333333333331,98173,64581,2021
jakobkogler/PythIDE,1,13559,13559,1,1,0.00095877277085330771,11,25,1,0,0,1,Python,0.69314718055994529,0.095877277085330767,25,1,130218,118781,2049
ufukomer/node-impala,6,79864.333333333343,470201,2.1666666666666665,3,0.0055648178486841227,0.66666666666666674,143.99999999999997,0,0.66666666666666663,0,0.66666666666666663,Thrift,4.2161386562865113,0.55648178486841227,23.999999999999996,0.66666666666666663,72255,47303,2170
hgn/captcp,4,23668,90647,2.5,3,0.0014258408715910496,0,93.5,0,0.25,0,0.25,Python,4.0235947810852508,0.14258408715910495,23.375,0.25,74592,110883,2213
